ip;port;type;ssl;country;latency(msec);uptime(per cent);checked(UTC)
110.74.195.114;8080;Transparent;false;"Cambodia";1260;83;"Nov 25 07:57:36"
115.238.231.198;8080;Transparent;false;"China";917;96;"Nov 25 07:56:54"
110.139.66.8;8080;Transparent;false;"Indonesia";8697;75;"Nov 25 07:56:04"
110.139.206.123;8080;Transparent;false;"Indonesia";4464;71;"Nov 25 07:55:54"
110.139.201.252;8080;Transparent;false;"Indonesia";12408;82;"Nov 25 07:55:49"
119.40.98.26;8080;Transparent;false;"Mongolia";1472;90;"Nov 25 07:55:33"
118.97.91.227;8080;Transparent;false;"Indonesia";3956;81;"Nov 25 07:55:16"
119.252.132.34;8080;Transparent;false;"Indonesia";6298;66;"Nov 25 07:55:15"
114.35.167.38;8080;Distorting;false;"Taiwan";2876;67;"Nov 25 07:54:53"
110.136.167.118;8080;Transparent;false;"Indonesia";10236;95;"Nov 25 07:54:51"
114.32.95.96;8080;Transparent;false;"Taiwan";1605;83;"Nov 25 07:54:50"
118.97.188.146;8080;Transparent;false;"Indonesia";5959;81;"Nov 25 07:54:47"
118.97.174.218;8080;Transparent;false;"Indonesia";5034;84;"Nov 25 07:54:41"
109.185.118.156;8080;Transparent;false;"Moldova";581;89;"Nov 25 07:54:40"
118.96.75.130;8080;Distorting;false;"Indonesia";1655;69;"Nov 25 07:54:34"
103.247.16.6;8080;Transparent;false;"Indonesia";1078;74;"Nov 25 07:53:55"
118.96.250.2;8080;Transparent;false;"Indonesia";1905;81;"Nov 25 07:53:44"
118.96.217.199;8080;Transparent;false;"Indonesia";2090;66;"Nov 25 07:53:41"
113.207.124.165;8080;Transparent;false;"China";2264;98;"Nov 25 07:53:40"
119.2.42.163;8080;Transparent;false;"Indonesia";2054;92;"Nov 25 07:53:20"
118.96.132.162;8080;Transparent;false;"Indonesia";2197;96;"Nov 25 07:53:14"
118.96.121.17;8080;Transparent;false;"Indonesia";8357;83;"Nov 25 07:53:10"
118.96.111.227;8080;Transparent;false;"Indonesia";1630;90;"Nov 25 07:53:01"
118.82.28.147;8080;Transparent;false;"Indonesia";2788;88;"Nov 25 07:53:00"
62.64.4.57;8080;Transparent;false;"Russian Federation";4788;98;"Nov 25 07:51:30"
62.5.227.150;8080;Transparent;false;"Russian Federation";11755;90;"Nov 25 07:51:25"
61.221.80.50;8080;Transparent;false;"Taiwan";1224;92;"Nov 25 07:47:44"
91.201.37.106;8080;Transparent;false;"Ukraine";632;94;"Nov 25 07:46:20"
91.144.77.20;8080;Transparent;false;"Hungary";522;90;"Nov 25 07:46:19"
89.251.103.130;8080;Transparent;false;"Russian Federation";1443;89;"Nov 25 07:45:32"
82.207.68.142;8080;Transparent;false;"Ukraine";678;90;"Nov 25 07:43:53"
95.111.8.211;8080;Transparent;false;"Bulgaria";816;95;"Nov 25 07:43:51"
80.78.65.186;8080;Transparent;false;"Albania";9754;87;"Nov 25 07:43:03"
83.146.90.122;8080;Transparent;false;"Russian Federation";1202;90;"Nov 25 07:41:49"
74.94.44.210;8080;Distorting;false;"United States";387;97;"Nov 25 07:41:29"
78.38.12.9;8080;Transparent;false;"Iran";1661;90;"Nov 25 07:41:24"
78.108.108.146;8080;Transparent;false;"Czech Republic";833;91;"Nov 25 07:41:19"
74.221.211.117;8080;Transparent;false;"United States";308;98;"Nov 25 07:40:37"
69.29.105.153;8080;Transparent;false;"United States";14461;56;"Nov 25 07:40:36"
74.112.203.107;8080;Transparent;false;"United States";337;98;"Nov 25 07:40:28"
46.231.215.37;8080;Transparent;false;"Russian Federation";1267;90;"Nov 25 07:37:56"
46.197.204.175;8080;Transparent;false;"Turkey";2951;90;"Nov 25 07:37:55"
46.181.213.133;8080;Transparent;false;"Russian Federation";6893;11;"Nov 25 07:37:52"
220.113.5.198;8080;Transparent;false;"China";5232;90;"Nov 25 07:36:55"
219.76.64.25;8080;Transparent;false;"Hong Kong";45444;84;"Nov 25 07:36:42"
221.195.42.195;8080;Transparent;false;"China";4352;91;"Nov 25 07:34:04"
219.234.82.88;8080;Distorting;false;"China";6074;90;"Nov 25 07:33:36"
41.59.17.37;8080;Transparent;false;"Tanzania";14059;70;"Nov 25 07:31:51"
219.234.82.60;8080;Distorting;false;"China";1355;92;"Nov 25 07:30:48"
219.234.82.80;8080;Distorting;false;"China";7346;92;"Nov 25 07:30:41"
212.34.241.246;8080;Transparent;false;"Armenia";789;92;"Nov 25 07:27:03"
218.94.149.114;8080;Transparent;false;"China";1067;91;"Nov 25 07:26:35"
217.146.208.162;8080;Transparent;false;"Iran";3769;92;"Nov 25 07:26:27"
202.69.107.212;8080;Transparent;false;"Indonesia";11607;93;"Nov 25 07:26:24"
212.175.88.3;8080;Transparent;false;"Turkey";732;89;"Nov 25 07:26:00"
203.189.138.146;8080;Transparent;false;"Cambodia";4724;95;"Nov 25 07:25:37"
216.244.71.143;8080;Transparent;false;"United States";407;93;"Nov 25 07:25:09"
202.43.168.26;8080;Transparent;false;"Indonesia";10276;87;"Nov 25 07:25:01"
202.28.143.25;8080;Transparent;false;"Thailand";1223;99;"Nov 25 07:24:28"
200.8.28.69;8080;Transparent;false;"Venezuela";4017;84;"Nov 25 07:23:40"
188.254.250.115;8080;Transparent;false;"Bulgaria";3587;87;"Nov 25 07:23:35"
190.95.232.178;8080;Transparent;false;"Ecuador";802;90;"Nov 25 07:23:19"
188.136.223.129;8080;Transparent;false;"Iran";951;90;"Nov 25 07:22:45"
187.87.234.40;8080;Transparent;false;"Brazil";6896;85;"Nov 25 07:22:44"
190.90.128.89;8080;Transparent;false;"Colombia";1364;90;"Nov 25 07:22:31"
119.152.13.253;8080;Transparent;false;"Pakistan";8857;91;"Nov 25 07:22:16"
187.44.4.195;8080;Transparent;false;"Brazil";1900;93;"Nov 25 07:22:15"
202.138.243.222;8080;Transparent;false;"Indonesia";2995;94;"Nov 25 07:21:55"
200.195.136.150;8080;Transparent;false;"Brazil";3902;65;"Nov 25 07:21:38"
190.29.22.247;8080;Transparent;false;"Colombia";13956;89;"Nov 25 07:21:30"
187.0.208.213;8080;Transparent;false;"Brazil";934;84;"Nov 25 07:21:13"
186.92.183.48;8080;Transparent;false;"Venezuela";6412;89;"Nov 25 07:21:12"
199.241.28.189;8080;Transparent;false;"United States";285;94;"Nov 25 07:21:10"
186.5.75.30;8080;Transparent;false;"Ecuador";565;89;"Nov 25 07:21:05"
118.97.63.227;8080;Transparent;false;"Indonesia";935;92;"Nov 25 07:20:29"
190.199.98.45;8080;Transparent;false;"Venezuela";4764;84;"Nov 25 07:19:40"
190.181.58.101;8080;Distorting;false;"Bolivia";36008;72;"Nov 25 07:19:34"
198.144.186.98;8080;Transparent;false;"United States";278;90;"Nov 25 07:19:34"
